Date,Open,High,Low,Close,Volume
2014-01-23 22:00:00,1.36971,1.36972,1.36928,1.36961,1251
2014-01-23 23:00:00,1.36961,1.36961,1.36897,1.36931,527
2014-01-24 00:00:00,1.3693,1.36971,1.36866,1.3688,1070
2014-01-24 01:00:00,1.36881,1.36934,1.36836,1.36878,1443
2014-01-24 02:00:00,1.36879,1.36886,1.36814,1.36821,1356
2014-01-24 03:00:00,1.3682400000000001,1.36871,1.36822,1.3683,786
2014-01-24 04:00:00,1.36829,1.3686099999999999,1.36788,1.36841,1075
2014-01-24 05:00:00,1.36841,1.3688500000000001,1.3682699999999999,1.36855,1073
2014-01-24 06:00:00,1.36857,1.36935,1.3682400000000001,1.36905,1656
2014-01-24 07:00:00,1.36905,1.37046,1.3679700000000001,1.36816,1987
2014-01-24 08:00:00,1.36815,1.36941,1.36784,1.36868,1987
2014-01-24 09:00:00,1.36871,1.36887,1.36688,1.36718,2851
2014-01-24 10:00:00,1.3672,1.36808,1.36627,1.36723,2823
2014-01-24 11:00:00,1.36723,1.36829,1.3669,1.36776,2616
2014-01-24 12:00:00,1.36772,1.37393,1.3673,1.37192,3674
2014-01-24 13:00:00,1.3719299999999999,1.37229,1.36837,1.36942,3331
2014-01-24 14:00:00,1.36944,1.36981,1.36704,1.36896,2949
2014-01-24 15:00:00,1.36889,1.36959,1.36796,1.36837,2715
2014-01-24 16:00:00,1.36837,1.3688799999999999,1.3669,1.3685100000000001,3364
2014-01-24 17:00:00,1.36856,1.36876,1.36708,1.36789,2575
2014-01-24 18:00:00,1.36792,1.36841,1.36724,1.36829,2020
2014-01-24 19:00:00,1.36829,1.36905,1.3673600000000001,1.36776,1788
2014-01-24 20:00:00,1.36778,1.36808,1.3673899999999999,1.36771,1309
2014-01-24 21:00:00,1.36767,1.36829,1.36754,1.36755,1461
2014-01-24 22:00:00,1.36756,1.36833,1.36741,1.36752,1085
2014-01-27 00:00:00,1.3679999999999999,1.36904,1.3679999999999999,1.36866,1368
2014-01-27 01:00:00,1.36864,1.36901,1.36765,1.36807,1915
2014-01-27 02:00:00,1.36807,1.36871,1.36796,1.36815,1571
2014-01-27 03:00:00,1.36815,1.36883,1.36802,1.36853,1200
